ID, name, variables, regulations
001, SIGNALING-IN-MACROPHAGE-ACTIVATION, 302, 19, 533
002, SIGNAL-TRANSDUCTION-IN-FIBROBLASTS, 130, 9, 557
003, MAMMALIAN-CELL-CYCLE, 19, 1, 51
004, ERBB-RECEPTOR-SIGNALING, 225, 22, 1100
005, FA-BRCA-PATHWAY, 28, 0, 123
006, HGF-SIGNALING-IN-KERATINOCYTES, 62, 6, 103
007, CORTICAL-AREA-DEVELOPMENT, 5, 0, 14
008, DEATH-RECEPTOR-SIGNALING, 25, 3, 45
009, YEAST-APOPTOSIS, 60, 13, 114
010, CARDIAC-DEVELOPMENT, 13, 2, 37
011, GUARD-CELL-ABSCISIC-ACID-SIGNALING, 40, 4, 78
012, T-CELL-RECEPTOR-SIGNALING, 94, 7, 158
013, CHOLESTEROL-REGULATORY-PATHWAY, 32, 2, 41
014, T-LGL-SURVIVAL-NETWORK-2008, 54, 7, 193
015, NEUROTRANSMITTER-SIGNALING-PATHWAY, 14, 2, 20
016, IL-1-SIGNALING, 104, 14, 218
017, DIFFERENTIATION-OF-T-LYMPHOCYTES, 41, 9, 97
018, EGFR-ERBB-SIGNALING, 76, 28, 226
019, IL-6-SIGNALING, 71, 15, 149
020, APOPTOSIS-NETWORK, 39, 2, 73
021, BODY-SEGMENTATION-IN-DROSOPHILA-2013, 14, 3, 29
022, B-CELL-DIFFERENTIATION, 17, 5, 39
023, MAMMALIAN-CELL-CYCLE-2006, 9, 1, 34
024, BUDDING-YEAST-CELL-CYCLE, 16, 4, 42
025, T-LGL-SURVIVAL-NETWORK-2011, 54, 6, 195
026, BUDDING-YEAST-CELL-CYCLE-2009, 18, 0, 59
027, WG-PATHWAY-OF-DROSOPHILA, 12, 14, 29
028, VEGF-PATHWAY-OF-DROSOPHILA, 10, 8, 18
029, TOLL-PATHWAY-OF-DROSOPHILA, 9, 2, 11
030, SPZ-NETWORK-OF-DROSOPHILA, 18, 6, 28
031, CELL-CYCLE-TRANSCRIPTION, 9, 0, 19
032, T-CELL-SIGNALLING-2006, 37, 3, 53
033, BT474-BREAST-CELL-LINE-LONG-TERM, 19, 5, 68
034, HCC1954-BREAST-CELL-LINE-LONG-TERM, 19, 4, 68
035, BT474-BREAST-CELL-LINE-SHORT-TERM, 11, 5, 46
036, HCC1954-BREAST-CELL-LINE-SHORT-TERM, 11, 5, 46
037, SKBR3-BREAST-CELL-LINE-SHORT-TERM, 11, 5, 41
038, SKBR3-BREAST-CELL-LINE-LONG-TERM, 21, 4, 81
039, HIV-1-INTERACTIONS-WITH-T-CELL-SIGNALING, 124, 14, 368
040, T-CELL-DIFFERENTIATION, 19, 4, 34
041, INFLUENZA-VIRUS-REPLICATION-CYCLE, 120, 11, 302
042, TOL-REGULATORY-NETWORK, 14, 10, 48
043, BORDETELLA-BRONCHISEPTICA, 33, 0, 79
044, TRICHOSTRONGYLUS-RETORTAEFORMIS, 25, 1, 58
045, HH-PATHWAY-OF-DROSOPHILA, 11, 13, 32
046, B-BRONCHISEPTICA-AND-T-RETORTAEFORMIS, 52, 1, 135
047, FGF-PATHWAY-OF-DROSOPHILA, 14, 9, 24
048, GLUCOSE-REPRESSION-SIGNALING-2009, 55, 18, 97
049, OXIDATIVE-STRESS-PATHWAY, 18, 1, 32
050, CD4-T-CELL-SIGNALING, 154, 34, 351
051, COLITIS-ASSOCIATED-COLON-CANCER, 69, 1, 153
052, SEPTATION-INITIATION-NETWORK, 23, 8, 50
053, PREDICTING-VARIABILITIES-IN-CARDIAC-GENE, 13, 2, 37
054, PC12-CELL-DIFFERENTIATION, 61, 1, 108
055, HUMAN-GONADAL-SEX-DETERMINATION, 19, 0, 79
056, IGVH-MUTATIONS-IN-LYMPHOCYTIC-LEUKEMIA, 66, 25, 125
057, FANCONI-ANEMIA-AND-CHECKPOINT-RECOVERY, 15, 0, 66
058, ARABIDOPSIS-THALIANA-CELL-CYCLE, 14, 0, 66
059, BORTEZOMIB-RESPONSES-IN-MYELOMA-CELLS, 62, 5, 131
060, STOMATAL-OPENING, 44, 5, 167
061, TUMOR-MICROENVIRONMENT-IN-LYMPHOBLASTIC-LEUKEAMIA, 24, 2, 79
062, CD4-T-CELL-DIFFERENTIATION-AND-PLASTICITY, 12, 6, 78
063, LAC-OPERON, 10, 3, 22
064, METABOLIC-INTERACTIONS-IN-GUT-MICROBIOME, 8, 4, 27
065, TUMOUR-CELL-INVASION-AND-MIGRATION, 30, 2, 156
066, CD4-T-CELL-DIFFERENTIATION, 29, 9, 96
067, REGULATION-OF-L-ARABINOSE-OPERON, 9, 4, 18
068, AURORA-KINASE-A-IN-NEUROBLASTOMA, 19, 4, 43
069, IRON-ACQUISITION-AND-STRESS-RESPONSE, 20, 2, 38
070, MAPK-CANCER-CELL-FATE, 49, 4, 104
071, CASTRATION-RESISTANT-PROSTATE-CANCER, 28, 14, 51
072, LYMPHOPOIESIS-REGULATORY-NETWORK, 67, 14, 160
073, LYMPHOID-AND-MYELOID-CELL-SPECIFICATION, 31, 2, 94
074, T-LGL-SURVIVAL-NETWORK-2011-REDUCED, 18, 0, 43
075, INFLAMMATORY-BOWEL-DISEASE, 47, 0, 287
076, SENESCENCE-ASSOCIATED-SECRETORY-PHENOTYPE, 49, 2, 96
077, SIGNALLING-PATHWAY-FOR-BUTANOL-PRODUCTION, 53, 13, 139
078, IMMUNE-SYSTEM, 151, 13, 506
079, COLORECTAL-TUMORIGENESIS, 184, 13, 747
080, TCR-SIGNALING-2018, 95, 15, 212
081, TLR5-SIGNALING-2018, 40, 2, 68
082, TCR-TLR5-SIGNALING-2018, 112, 16, 257
083, SIGNALING-IN-PROSTATE-CANCER, 122, 11, 420
084, ABA-INDUCED-STOMATAL-CLOSURE, 58, 23, 155
085, REPROGRAMMING-TESTES-DERIVED-STEM-CELLS, 23, 4, 49
086, TUMOUR-CELL-INVASION-AND-MIGRATION-REDUCED, 18, 2, 88
087, INFLAMMATORY-GENE-EXPRESSION-IN-MACROPHAGES, 99, 34, 190
088, MIR-9-NEUROGENESIS, 6, 0, 11
089, MAPK-REDUCED-1, 13, 4, 78
090, MAPK-REDUCED-2, 14, 4, 60
091, MAPK-REDUCED-3, 12, 4, 58
092, HEPATOCELLULAR-CARCINOMA, 61, 8, 139
093, IMMUNE-CHECKPOINT-INHIBITORS, 51, 15, 128
094, MACROPHAGE-POLARIZATION-STATES, 23, 8, 52
095, FISSION-YEAST-2008, 9, 1, 27
096, ERBB-REGULATED-G1-S-TRANSITION, 19, 1, 48
097, DROSOPHILA-WINGS-AP, 8, 2, 14
098, MACROPHAGE-POLARIZATION-EXTENDED, 30, 12, 72
099, YEAST-HYPHAL-TRANSITION, 16, 3, 36
100, ACUTE-MYELOID-LEUKEMIA, 18, 3, 30
101, GUARD-CELL-CO2-SIGNALLING, 61, 24, 155
102, PANCREATIC-CANCER-MICROENVIRONMENT-REDUCED, 17, 5, 52
103, PANCREATIC-CANCER-MICROENVIRONMENT, 65, 4, 110
104, DROSOPHILA-CELL-CYCLE, 11, 3, 42
105, PLANT-GUARD-CELL-SIGNALLING, 46, 3, 113
106, STOMATAL-RESTING-STATE, 58, 22, 151
107, DNA-DAMAGE-INDUCED-AUTOPHAGY, 32, 1, 99
108, GEROCONVERSION, 23, 2, 67
109, ASYMMETRIC-CELL-DIVISION-A, 5, 0, 15
110, ASYMMETRIC-CELL-DIVISION-B, 9, 0, 12
111, APOPTOSIS, 18, 15, 40
112, COAGULATION-PATHWAY, 85, 27, 195
113, ER-STRESS, 107, 75, 266
114, ETC, 46, 38, 154
115, E-PROTEIN, 17, 18, 40
116, HMOX1-PATHWAY, 89, 55, 228
117, IFN-LAMBDA, 28, 19, 52
118, INTERFERON-1, 66, 55, 190
119, JNK-PATHWAY, 13, 6, 21
120, KYNURENINE-PATHWAY, 78, 72, 304
121, NLRP3-ACTIVATION, 39, 18, 91
122, NSP14, 74, 94, 558
123, NSP4-NSP6, 43, 17, 62
124, NSP9-PROTEIN, 119, 133, 257
125, ORF10-CUL2-PATHWAY, 34, 17, 92
126, ORF3A, 24, 18, 56
127, PAMP-SIGNALING, 44, 35, 109
128, PYRIMIDINE-DEPRIVATION, 56, 34, 131
129, RTC-AND-TRANSCRIPTION, 33, 1, 40
130, RENIN-ANGIOTENSIN, 43, 34, 130
131, TGFB-PATHWAY, 7, 14, 24
132, VIRUS-REPLICATION-CYCLE, 129, 19, 268
133, ROOT-STEM-CELL-2010, 8, 2, 16
134, RHEUMATOID-ARTHRITIS, 35, 3, 59
135, SIGNAL-TRANSDUCTION, 28, 2, 33
136, EGF-TNF-ALPHA-SIGNALLING-PATHWAY, 26, 2, 31
137, SIGNALLING-IN-LIVER-CANCER, 71, 11, 118
138, APOPTOSIS-UPDATED, 17, 14, 37
139, ACUTE-RESPONSES-DURING-HYPERINSULINEMIA, 10, 9, 64
140, BREAST-CANCER-DRUG-RESISTANCE, 62, 18, 211
141, HIGH-OSMOLARITY-AND-MATING-PATHWAYS, 43, 2, 94
142, BLOOD-STEM-CELL, 27, 2, 126
143, BREAST-CANCER-INHIBITORS, 71, 26, 223
144, SNF1-AMPK-PATHWAY, 146, 56, 482
145, MELANOGENESIS, 61, 1, 113
146, BUDDING-YEAST-FAURE-2009, 40, 10, 271
147, BUDDING-YEAST-EXIT-MODULE, 11, 5, 44
148, AGS-CELL-FATE-DECISION, 83, 0, 185
149, AGS-CELL-FATE-DECISION-REDUCED, 12, 2, 62
150, CELL-FATE-DECISION-MULTISCALE, 31, 2, 52
151, TCR-REDOX-METABOLISM, 130, 3, 417
152, TCR-REDOX-METABOLISM-REDUCED, 50, 3, 288
153, CONTROL-OF-PROLIFERATION, 17, 1, 34
154, CONTROL-OF-TH1-TH2-DIFFERENTIATION, 18, 3, 50
155, CONTROL-OF-TH1-TH2-TH17-TREG-DIFFERENTATION, 45, 26, 164
156, CONTROL-OF-TH1-TH2-TH17-TREG-DIFFERENTATION-REDUCED, 23, 13, 108
157, CONTROL-OF-TH-DIFFERENTATION, 62, 41, 234
158, LAMBDA-PHAGE-LYSOGENY, 7, 0, 30
159, BUDDING-YEAST-CORE, 31, 8, 185
160, IL17-DIFFERENTIAL-EXPRESSION, 76, 16, 246
161, DIFFERENTIATION-OF-MONOCYTES, 94, 2, 244
162, DROSOPHILA-DPP-PATHWAY, 10, 8, 40
163, DROSOPHILA-EGF-PATHWAY, 24, 10, 84
164, EGGSHELL-PATTERNING-MECHANISTIC, 17, 7, 62
165, EGGSHELL-PATTERNING-PHENOMOENOLOGICAL, 4, 4, 16
166, DROSOPHILA-JAK-STAT-PATHWAY, 7, 12, 36
167, MESODERM-SPECIFICATION-IN-DROSOPHILA, 41, 16, 130
168, DROSOPHILA-NOTCH-PATHWAY, 7, 6, 26
169, DROSOPHILA-GAP-A, 5, 2, 17
170, DROSOPHILA-GAP-B, 4, 3, 15
171, DROSOPHILA-GAP-C, 5, 2, 20
172, DROSOPHILA-GAP-D, 5, 2, 12
173, GLUCOSE-REPRESSION-SIGNALLING, 62, 14, 116
174, HEPATOCELLULAR-CARCINOMA-REDUCED, 19, 0, 71
175, SEA-URCHIN, 32, 9, 95
176, MYELOFIBROTIC-MICROENVIRONMENT, 47, 2, 148
177, LYMPHOID-CELL-SPECIFICATION, 31, 3, 96
178, MAST-CELL-ACTIVATION, 45, 3, 72
179, MICROENVIRONMENT-CONTROL, 46, 10, 149
180, MORPHOGENETIC-CHECKPOINT, 11, 1, 36
181, MULTILEVEL-CELL-CYCLE, 12, 1, 59
182, BOOLEAN-CELL-CYCLE, 12, 2, 59
183, ALTERATIONS-IN-BLADDER, 31, 4, 111
184, P53-MDM2-NETWORK, 5, 1, 15
185, CHICKEN-SEX-DETERMINATION, 12, 3, 34
186, CHICKEN-SEX-DETERMINATION-REDUCED, 7, 3, 25
187, MAMMAL-SEX-DETERMINATION-1-CELL, 13, 6, 55
188, MAMMAL-SEX-DETERMINATION-2-CELL, 30, 7, 132
189, TRP-BIOSYNTHESIS, 5, 1, 13
190, BRAF-TREATMENT-RESPONSE, 32, 5, 74
191, SEGMENT-POLARITY-1-CELL, 17, 2, 55
192, SEGMENT-POLARITY-6-CELL, 102, 0, 352
193, SENESCENCE-G1S-CHECKPOINT, 28, 2, 100
194, VULVAR-PRECURSOR-CELLS, 78, 28, 236
195, CTLA4-PD1-CHECKPOINT-INHIBITORS, 161, 55, 439
196, T-LYMPHOCYTE-SPECIFICATION, 58, 3, 237
197, ANTERIOR-POSTERIOR-BOUNDARY, 48, 8, 253
198, PAIR-RULE-MODULE, 11, 0, 48
199, HEPATOCELLULAR-CARCINOMA-COMPARTMENTALIZED, 30, 0, 97
200, LUNG-CANCER-CELL-CYCLE, 25, 1, 71
201, ONKOGENE-ROLE-OF-INCRNA-ANRIL, 31, 2, 94
202, ONKOGENE-ROLE-OF-INCRNA-XIST, 30, 1, 107
203, DDR-SIGNALLING-PATHWAYS, 39, 1, 143
204, HUMAN-BRAIN-ORGANOIDS, 76, 1, 205
205, EPITHELIAL-MESENCHYMAL-TRANSITION-IN-BLADDER, 41, 4, 118
206, EPITHELIAL-MESENCHYMAL-TRANSITION-IN-BREAST, 36, 5, 97
207, BREAST-CANCER-TUMOUR, 85, 18, 441
208, HEMATOPOIESIS-AGING, 15, 0, 36
209, ABERRANT-CELL-CYCLE-PROGRESSION, 85, 2, 372
210, DRUG-SYNERGY-PREDICTION, 144, 0, 367
211, EPITHELIAL-DERIVED-CANCER-CELLS, 183, 0, 602
212, ESCHERICHIA-COLI-TRYPTOPHAN, 13, 3, 27
213, DOPAMINE-TRANSCRIPTION, 54, 11, 94
214, FOXO3-PATHWAY, 52, 18, 89
215, MTOR-PATHWAY, 41, 26, 83
216, PPARGC1A-PATHWAY, 52, 17, 109
217, PRKN-PATHWAY, 21, 35, 72
218, TCA-CYCLE, 34, 34, 197
219, WNT-PI3K-AKT-PATHWAY, 45, 39, 106
220, HEALING-RESPONSE-IN-LEISHMANIASIS, 261, 81, 748
221, MYCOBACTERIAL-LATENCY, 280, 37, 546
222, TEMPORAL-PROTEIN-EXPRESSION, 167, 39, 435
223, ANGIOGENESIS-MICROENVIRONMENT, 114, 27, 254
224, BORTEZOMIB-PHARMACODYNAMIC-HETEROGENEITY, 87, 8, 210
225, INTEGRATED-PROSTATE-CANCER-NETWORK, 69, 22, 155
226, B-CELL-APOPTOSIS, 68, 7, 137
227, HEDGEHOG-SIGNALING-PATHWAY, 37, 28, 153
228, INTEGRATION-OF-SIGNALING-AND-KINETIC-MODELS, 47, 9, 107
229, CALCIUM-SIGNALING-STOMATAL-CLOSURE, 52, 4, 128
230, HEPATOCYTE-GROWTH-FACTOR, 50, 5, 76
